Depth ID Strategy Param SolutionLength Visited Processed Depth Time
4 3 astr manh 4 12 5 4 0.001 
4 3 bfs drlu 4 111 56 0 0.004 
4 3 bfs drul 4 111 56 0 0.004 
4 3 bfs ludr 4 152 73 0 0.005 
4 3 bfs lurd 4 114 53 0 0.004 
4 3 bfs rdlu 4 73 36 0 0.002 
4 3 bfs rdul 4 73 36 0 0.002 
4 3 bfs uldr 4 152 73 0 0.005 
4 3 bfs ulrd 4 114 53 0 0.004 
4 3 dfs drlu 18 129297 129283 20 4.568 
4 3 dfs drul -1 329285 329285 20 16.263 
4 3 dfs ludr -1 179506 179506 20 6.82 
4 3 dfs lurd 4 224951 224949 20 7.314 
4 3 dfs rdlu 4 12 5 4 0.001 
4 3 dfs rdul 4 12 5 4 0.0 
4 3 dfs uldr 18 83456 83444 20 3.853 
4 3 dfs ulrd 4 154224 154223 20 5.131 
4 4 astr hamm 4 12 5 4 0.001 
4 4 astr manh 4 12 5 4 0.001 
4 4 bfs drlu 4 128 61 0 0.006 
4 4 bfs drul 4 103 48 0 0.004 
4 4 bfs ludr 4 122 61 0 0.004 
4 4 bfs lurd 4 122 61 0 0.004 
4 4 bfs rdlu 4 128 61 0 0.006 
4 4 bfs rdul 4 103 48 0 0.003 
4 4 bfs uldr 4 97 48 0 0.003 
4 4 bfs ulrd 4 97 48 0 0.003 
4 4 dfs drlu 18 109615 109597 20 3.671 
4 4 dfs drul 4 169277 169273 20 8.627 
4 4 dfs ludr -1 199456 199456 20 6.276 
4 4 dfs lurd -1 329285 329285 20 11.883 
4 4 dfs rdlu 10 101459 101445 20 3.228 
4 4 dfs rdul -1 179506 179506 20 6.192 
4 4 dfs uldr -1 329285 329285 20 11.883 
4 4 dfs ulrd -1 199456 199456 20 6.665 
4 5 astr hamm 4 12 5 4 0.001 
4 5 astr manh 4 12 5 4 0.001 
4 5 bfs drlu 4 59 27 0 0.002 
4 5 bfs drul 4 59 27 0 0.002 
4 5 bfs ludr 4 103 48 0 0.003 
4 5 bfs lurd 4 118 54 0 0.005 
4 5 bfs rdlu 4 74 33 0 0.003 
4 5 bfs rdul 4 74 33 0 0.004 
4 5 bfs uldr 4 103 48 0 0.003 
4 5 bfs ulrd 4 118 54 0 0.004 
4 5 dfs drlu 12 28 13 12 0.001 
4 5 dfs drul 12 17981 17969 20 0.783 
4 5 dfs ludr 4 187025 187023 20 6.838 
4 5 dfs lurd -1 308791 308791 20 11.217 
4 5 dfs rdlu 4 72083 72078 20 2.642 
4 5 dfs rdul 4 71979 71974 20 2.315 
